recno,Gal,f_Gal,SN,Nc,IRexp,Oexp,PID,Date,_RA,_DE
1,"M101 ",d,2011fe,251,4847,3776,12880,2456354.0,210.80243,54.34875
2,N1015," ",2009ig,14,14364,39336,12880,2456473.0,39.54819,-1.31862
3,N1309,d,2002fk,44,6991,3002,"11570,12880",2455401.0,50.52732,-15.39994
4,N1365,d,2012fr,32,3618,3180,12880,2456510.0,53.40191,-36.14066
5,N1448," ",2001el,54,6035,17562,12880,2456550.0,56.13298,-44.64483
6,N2442," ","2015F ",141,6035,20976,13646,2457408.0,114.09934,-69.53082
7,N3021,d,1995al,18,4426,2962,"11570,12880",2455350.0,147.73811,33.55359
8,N3370,d,1994ae,63,4376,2982,"11570,12880",2455290.0,161.76683,17.2737
9,N3447," ",2012ht,80,4529,19114,12880,2456641.0,163.34988,16.77243
10,N3972," ",2011by,42,6635,19932,13647,2457131.0,178.93799,55.32067
11,N3982,d,1998aq,16,4018,1400,11570,2455047.0,179.11737,55.12536
12,N4038,d,2007sr,13,6795,2064,11577,2455218.0,180.47084,-18.86759
13,N4258,d,Anchor,139,34199,6120,11570,2455168.0,184.74008,47.30372
14,N4424," ",2012cg,3,3623,17782,12880,2456665.0,186.79823,9.42064
15,N4536,d,"1981B ",33,2565,2600,11570,2455396.0,188.61304,2.18788
16,N4639,d,"1990N ",25,5379,1600,11570,2455050.0,190.71824,13.25742
17,N5584," ",2007af,83,4929,59940,11570,2455290.0,215.59921,-0.38745
18,N5917," ",2005cf,13,7235,23469,12880,2456432.0,230.38563,-7.37709
19,N7250," ",2013dy,22,5435,18158,12880,2456577.0,334.57407,40.56241
20,U9391," ",2003du,28,13711,39336,12880,2456275.0,218.65422,59.33783
